date,ticker,portfolio,price,tradeusd,weightbefore,weighttarget,weightafter,transactioncostusd
2025-10-31,TSLA,aggressive,456.55999755859375,-18.012371817379403,0.05932810449909326,0.058211032118128406,0.0582110321181284,0.018012371817379403
2025-10-31,NVDA,aggressive,202.4677734375,-99.47717796952031,0.06112995662135744,0.054915634269750886,0.054915634269750886,0.09947717796952031
2025-10-31,AMD,aggressive,256.1199951171875,-484.6846746844618,0.08143847217337297,0.051123723338220954,0.051123723338220954,0.4846846746844618
2025-10-31,AVGO,aggressive,368.1518249511719,-122.40049155150382,0.056433696699112454,0.048784183919977006,0.04878418391997701,0.12240049155150381
2025-10-31,XSD,aggressive,351.85174560546875,-71.05589441164193,0.052213418829425054,0.04777601422932038,0.04777601422932038,0.07105589441164194
2025-10-31,ARKK,aggressive,88.9800033569336,-72.46212022143675,0.050603435592277944,0.046077766096242596,0.046077766096242596,0.07246212022143675
2025-10-31,SOXQ,aggressive,56.7797966003418,-29.65808931801837,0.04672517168960632,0.044877253333538675,0.044877253333538675,0.02965808931801837
2025-10-31,LRCX,aggressive,157.01307678222656,-240.85421119660214,0.05951290397275325,0.04445182387007285,0.04445182387007284,0.24085421119660214
2025-10-31,SOXX,aggressive,305.9130249023437,-15.085234495439636,0.04462593098393997,0.04368953526873257,0.04368953526873257,0.015085234495439637
2025-10-31,SMH,aggressive,361.8939208984375,-29.468235298777472,0.04387495691740825,0.04203843664957956,0.04203843664957956,0.029468235298777474
2025-10-31,KLAC,aggressive,1205.1494140625,-63.90243690791499,0.04565660035032177,0.041665705752365986,0.041665705752365986,0.06390243690791499
2025-10-31,ARKW,aggressive,174.20663452148438,-42.617128628452065,0.041318995233440375,0.038659267984207504,0.038659267984207504,0.042617128628452065
2025-10-31,QCOM,aggressive,178.83218383789062,96.71055339435594,0.027810403808935423,0.033866642083518306,0.033866642083518306,0.09671055339435594
2025-10-31,FCX,aggressive,41.50496292114258,145.70211336791783,0.021621348961895034,0.030742124379421858,0.03074212437942186,0.14570211336791783
2025-10-31,META,aggressive,647.2674560546875,144.2349302447558,0.018997167525454,0.02802569228917982,0.02802569228917982,0.14423493024475578
2025-10-31,ETN,aggressive,379.3266296386719,85.02900645924655,0.02154302997072126,0.02686725120908693,0.02686725120908693,0.08502900645924655
2025-10-31,FTEC,aggressive,235.9318084716797,49.51510800236912,0.0237286597298675,0.02683101429584609,0.026831014295846094,0.04951510800236912
2025-10-31,ORCL,aggressive,261.00604248046875,-44.68132390707325,0.029428014701864735,0.026637113141931273,0.026637113141931273,0.04468132390707325
2025-10-31,VGT,aggressive,98.94786834716795,49.770033309890096,0.02338023605646672,0.026498483347656192,0.026498483347656192,0.0497700333098901
2025-10-31,XLK,aggressive,149.9259033203125,51.705555780931434,0.022811466976263177,0.026050730933903806,0.02605073093390381,0.05170555578093144
2025-10-31,AMZN,aggressive,244.22000122070312,72.58527080693659,0.02069540744304368,0.02524083479260136,0.02524083479260136,0.0725852708069366
2025-10-31,TXN,aggressive,159.6020050048828,147.054303937827,0.01580892833951583,0.025013332835915194,0.025013332835915194,0.147054303937827
2025-10-31,CLOU,aggressive,24.100000381469727,108.18238100496549,0.014581497929020781,0.02135333480834227,0.02135333480834227,0.1081823810049655
2025-10-31,ISRG,aggressive,534.280029296875,123.94208017899317,0.013125874884603466,0.020883608442828168,0.020883608442828168,0.12394208017899316
2025-10-31,GS,aggressive,781.3638916015625,35.630981019466844,0.018387496550024928,0.020620167051443473,0.020620167051443473,0.035630981019466844
2025-10-31,QQQ,aggressive,627.4694213867188,61.226146155134984,0.01653473349927402,0.020368675070687615,0.020368675070687615,0.06122614615513498
2025-10-31,QQQM,aggressive,258.27685546875,60.06776216882071,0.01622018296835013,0.019981586995382942,0.019981586995382942,0.06006776216882071
2025-10-31,AXP,aggressive,358.796142578125,57.94183491094532,0.01607344229756928,0.01970179438082658,0.01970179438082658,0.05794183491094532
2025-10-31,VUG,aggressive,82.96500396728516,60.31592742098624,0.015891401931660856,0.019668279002467978,0.019668279002467978,0.060315927420986244
2025-10-31,EL,aggressive,96.02753448486328,-17.955942037979014,0.020499062863360187,0.019378958108822675,0.019378958108822675,0.017955942037979015
